scientific_name,family,group,origin,comments,source
Spergularia bocconi,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Spergularia media var. media,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Spergularia villosa,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Sphaeropteris cooperi,Cyatheaceae,Pteridophytes,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Sporobolus indicus,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Sporobolus niliacus,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Symphyotrichum novae-angliae,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Tagetes patula,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Taxodium distichum var. distichum,Cupressaceae,Gymnosperms,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Tetragonia tetragonioides,Aizoaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Thelesperma megapotamicum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Thinopyrum junceum,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Thinopyrum pycnanthum,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Torilis henryi,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Tradescantia fluminensis,Commelinaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Trifolium echinatum,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Trifolium retusum,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Trifolium suffocatum,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Trifolium tomentosum,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Triglochin palustris,Juncaginaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Tripidium ravennae,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Tulipa sylvestris,Liliaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Typha × glauca,Typhaceae,Monocotyledons,"exotic, naturalized",Oregon occurrence discovered after publication of Flora of Oregon; = T.  latifolia (native) x T. angustifolia (exotic); potentially invasive,AcceptedTaxa_NotTreatedInFlora
Urochloa mutica,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Vaccinium corymbosum,Ericaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Veratrum fimbriatum,Melanthiaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Verbesina encelioides,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Vicia faba,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Vicia lathyroides,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Zea mays ssp. mays,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Zinnia violacea,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Agrostis blasdalei,Poaceae,Monocotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Agrostis swalalahos,Poaceae,Monocotyledons,native,"new to science, taxon published after publication of Flora of Oregon",AcceptedTaxa_NotTreatedInFlora
Allium dictuon,Amaryllidaceae,Monocotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Arctostaphylos × oblongifolia,Ericaceae,Dicotyledons,native,Oregon occurrence mentioned in Flora of Oregon under A. viscida but not named; = A. canescens x A. viscida,AcceptedTaxa_NotTreatedInFlora
Asplenium trichomanes ssp. quadrivalens,Aspleniaceae,Pteridophytes,native,Oregon occurrence mentioned in Flora of Oregon under A. trichomanes ssp. trichomanes,AcceptedTaxa_NotTreatedInFlora
Calamagrostis utsutsuensis,Poaceae,Monocotyledons,native,"new to science, taxon published after publication of Flora of Oregon",AcceptedTaxa_NotTreatedInFlora
Carex vespertina,Cyperaceae,Monocotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon; previously submerged within C. inops.,AcceptedTaxa_NotTreatedInFlora
Eleocharis coloradoensis,Cyperaceae,Monocotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Equisetum × nelsonii,Equisetaceae,Pteridophytes,native,Oregon occurrence discovered after publication of Flora of Oregon; = E. hyemale x E. variegatum,AcceptedTaxa_NotTreatedInFlora
Eremogone congesta var. subcongesta,Caryophyllaceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Fritillaria camschatcensis,Liliaceae,Monocotyledons,native,Oregon occurrence mentioned in Flora of Oregon; see errata for full description,AcceptedTaxa_NotTreatedInFlora
Hackelia bella,Boraginaceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Huperzia miyoshiana,Lycopodiaceae,Pteridophytes,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Lilium rubescens,Liliaceae,Monocotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Myriopteris covillei,Pteridaceae,Pteridophytes,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Pinus ponderosa var. cunninghamia,Pinaceae,Gymnosperms,native,"new to science, taxon published after publication of Flora of Oregon",AcceptedTaxa_NotTreatedInFlora
Poa glauca ssp. glauca,Poaceae,Monocotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Poa mansfieldii,Poaceae,Monocotyledons,native,"new to science, taxon published after publication of Flora of Oregon",AcceptedTaxa_NotTreatedInFlora
Prosartes parvifolia,Liliaceae,Monocotyledons,native,Oregon occurrence inadvertently missed in Flora of Oregon; refer to Flora of Oregon errata,AcceptedTaxa_NotTreatedInFlora
Psorothamnus polydenius,Fabaceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Quercus × morehus,Fagaceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon; = Q. kelloggii x Q. wislzeni,AcceptedTaxa_NotTreatedInFlora
Sedum rupicola,Crassulaceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Stephanomeria pauciflora,Asteraceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
