plant_type,scientific_name,cultivar,botanical_name_raw,common_name,total_on_site,grower_source,comments
Groundcover,Sedum spurium,,Sedum spurium,'Blaze of Fulda' Stonecrop,NA,Jayker,
Groundcover,Sedum spurium,,Sedum spurium,'Dragon's Blood' Stonecrop,NA,IDFW,Plot 3
Groundcover,Sedum spurium,,Sedum spurium,'Dragon's Blood' Stonecrop,10,Walla Walla Nursery Co. / Farwest,
Groundcover,Sedum spurium,,Sedum spurium,'Fuldaglut' Stonecrop,NA,IDFW,Plot 3
Groundcover,Sedum spurium,,Sedum spurium,'Summer Snow' Stonecrop,NA,IDFW,Plot 4
Groundcover,Sempervivum,,Sempervivum,Autumn Apple™ 'Dakona',1,Zamzows,Plot 5
Groundcover,Sempervivum,,Sempervivum,Chocolate Kiss™ 'Pacific Devil's Food',1,NEON,Plot 4
Groundcover,Sempervivum,,Sempervivum,'Firebird' Hens & Chicks,1,NEON,Plot 4
Groundcover,Sempervivum,,Sempervivum,Hens & Chicks,18+,IDFW Prop,
Groundcover,Sempervivum,,Sempervivum,'Red Beauty' Hens & Chicks,3,IBG,
Groundcover,Sempervivum,,Sempervivum,'Topaz' Hens & Chicks,1,NEON,
Groundcover,Sempervivum arachnoideum,,Sempervivum arachnoideum,Cobweb Hens & Chicks,1,,Green roof
Groundcover,Symphyotrichum ericoides,,Symphyotrichum ericoides,'Snow Flurry',1,Michelle W,
Groundcover,Tanacetum densum ssp. amani,,Tanacetum densum ssp. amani,Partridge Feather,1,Draggin' Wing,
Groundcover,Tanacetum densum ssp. amani,,Tanacetum densum ssp. amani,Partridge Feather,2,HCG,
Groundcover,Tanacetum densum ssp. amani,,Tanacetum densum ssp. amani,Partridge Feather,3,IDFW Prop,
Groundcover,Teucrium aroanium,,Teucrium aroanium,Gray-creeping Germander,1,HCG,
Groundcover,Thymus praecox,,Thymus praecox,'Coccineus' Creeping Thyme,2,HCG,Plot 6
Groundcover,Thymus praecox,,Thymus praecox,'Coccineus' Creeping Thyme,1,Far West,Plot 6
Groundcover,Thymus serpyllum,,Thymus serpyllum,'Magic Carpet' Thyme,3,BSU Hort,
Groundcover,Thymus serpyllum,,Thymus serpyllum,'Pink Chintz' Creeping Thyme,2,HCG,Plot 6
Groundcover,Thymus serpyllum,,Thymus serpyllum,'Pink Chintz' Creeping Thyme,1,Far West,Plot 6
Groundcover,Thymus vulgaris,,Thymus vulgaris,Thyme,10,Far West,
Groundcover,Veronica,,Veronica,'Waterperry Blue' Speedwell,10,Plants of the Wild,
Groundcover,Veronica liwanensis,,Veronica liwanensis,Turkish Speedwell,3,Plants of the Wild,
Groundcover,Veronica liwanensis,,Veronica liwanensis,Turkish Speedwell,7,HCG,
Groundcover,Veronica liwanensis,,Veronica liwanensis,Turkish Speedwell,7,"HCG, NEON",Plot 2
Groundcover,Veronica oltensis,,Veronica oltensis,Thyme-leaf Speedwell,5,HCG,
Groundcover,Veronica oltensis,,Veronica oltensis,Thyme-leaf Speedwell,2,HCG,Plot 6
Groundcover,Veronica pectinata,,Veronica pectinata,Blue Woolly Veronica,6,HCG,"Crevice garden, plot 6"
Groundcover,Veronica pectinata,,Veronica pectinata,Blue Woolly Veronica,2,NEON,Plot 6
Groundcover,Vinca minor v. atropurpurea,,Vinca minor v. atropurpurea,Periwinkle,3,Walla Walla Nursery Co.,
Perennial,Acantholimon hohenackeri,,Acantholimon hohenackeri,Prickly Dianthus,1,HCG,
Perennial,Acantholimon litvinovii,,Acantholimon litvinovii,Prickly Dianthus,1,HCG,
Perennial,Aethionema schistosum,,Aethionema schistosum,Fragrant Persian Stonecress,2,HCG,
Perennial,Agastache,,Agastache,'Rosie Posie' Hyssop,4,CWI Hort/ Edwards GH,Leave foliage alone until spring for added winter protection
Perennial,Agave toumeyana v. bella,,Agave toumeyana v. bella,Minature Century Plant,1,HCG,
Perennial,Amsonia tabernaemontana,,Amsonia tabernaemontana,'Storm Cloud' Bluestar,2,OVN,
Perennial,Aquilegia sp.,,Aquilegia sp.,Columbine,2,IDFW Prop,
Perennial,Armeria sp.,,Armeria sp.,Sea Thrift,1,CWI Hort,Green roof
Perennial,Armeria maritima,,Armeria maritima,'Victor Reiter' Sea Thrift,1,Edwards,Crevice garden
Perennial,Armeria maritima,,Armeria maritima,'Victor Reiter' Sea Thrift,3,HCG,Plot 5
Perennial,Artemisia arborescens,,Artemisia arborescens,'Powis Castle' Artemisia,3,BSU Hort,Wait to prune until late winter/early spring
Perennial,Artemisia versicolor,,Artemisia versicolor,‘Sea Foam’ Wormwood,4,Roger,
Perennial,Asclepias tuberosa,,Asclepias tuberosa,Butterfly Milkweed,3,IDFW Prop,
Perennial,Aster alpinus,,Aster alpinus,Alpine Aster,1,HCG,Plot 5
Perennial,Aster x frikartii,,Aster x frikartii,'Monch' Monch Frikart's Aster,2,HCG,
Perennial,Astragalus utahensis,,Astragalus utahensis,Utah Milkvetch,1,Western Native Seeds,"Direct seed in late fall, xeric, crevice garden"
