scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Arctostaphylos x coloradoensis,Panchito Manzanita,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arctotheca prostrata (Arctotheca calendula),cape weed,"Ground Cover, Perennial",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arctotis hybrids,African daisy,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Ardisia japonica,"Japanese ardesia, marlberry",Ground Cover,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arenaria montana,sandwort,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arenga engleri,Formosa sugar palm,"Shrub, Tree, Palm and Cycad",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arenga micrantha,Tibetan sugar palm,"Shrub, Tree, Palm and Cycad",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Argemone corymbosa,prickly poppy,"Perennial, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Argemone munita,prickly poppy,"Perennial, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Argemone pleiacantha,south western prickly poppy,Perennial,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Argyranthemum frutescens & ssp. & cvs. (Chrysanthemum frutescens)(shade in desert),Marguerite daisy,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Argyranthemum gracile,chelsea girl and other cvs,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aristaloe & spp. & cvs.,Lace Aloe,Succulent,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30
Aristea ecklonii,little Tyler/blue stars,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Aristea major,tall aristea,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aristida purpurea,purple three-awn,"Ornamental Grass, California Native",Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A
Aristolochia californica,California Dutchman's pipe,"California Native, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Aristolochia durior,Dutchman's pipe,Vine,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Aristolochia gigantea,pelican flower,Vine,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aristolochia littoralis (elegans),calico flower,Vine,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Aristolochia macroura,Brazilian Dutchman's pipe,Vine,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Armeria alliacea (SHADE IN SOUTH INLAND),sea pink,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Armeria caespitosa (A. juniperifolia),thrift,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Armeria maritima,sea pink,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Armeria pseudarmeria,sea pink,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Armeria setacea,thrift,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arnica montana,arnica,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arnica parryi,Parry's arnica,"Perennial, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aronia arbutifolia 'Brilliantissima',red chokeberry,Shrub,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aronia melanocarpa var.elata,black chokeberry,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arrhenatherum elatius,tall oat grass,Ornamental Grass,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Artemisia 'Powis Castle',Powis Castle sagebrush,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Artemisia arborescens,large wormwood,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Artemisia californica,California sagebrush,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Artemisia californica 'Canyon Gray',Canyon Gray sagebrush,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Artemisia californica 'Montara',Montara sagebrush,"Ground Cover, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Artemisia douglasiana,California mugwort,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Artemisia dracunculus,Tarragon,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A
Artemisia filifolia,sand sagebrush,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30
Artemisia frigida,Fringed Sage,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Artemisia ludoviciana,White sagebrush,"Perennial, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Artemisia ludoviciana ssp. albula,Silver Wormwood,"Perennial, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Artemisia nesiotica,Island Sage Brush,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A
Artemisia palmeri,San Diego Sagewort,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Artemisia pycnocephala,Coastal Sagewort,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Artemisia pycnocephala 'David's Choice',David's Choice Sagebrush,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Artemisia schmidtiana 'Silver Mound',Silver Mound,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A
Artemisia spp. (herbaceous),angel's hair,"Ground Cover, Perennial",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Artemisia spp. (shrubby),sagebrush,"Ground Cover, Shrub",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Artemisia tridentata,big sagebrush,"Shrub, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A
Artemisia tridentata ssp. vaseyana,Mountain Sagebrush,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Arthropodium cirrhatum,star lily,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Arum italicum,Italian arum,Perennial,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aruncus dioicus,goat's beard,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Arundinaria gigantea,cane reed,Ornamental Grass,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Arundo formosana 'Oriental Gold',oriental gold giant reed,Ornamental Grass,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asarina antirrhiniflora,snapdragon vine,Vine,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Asarina barclaiana,twining snapdragon,Vine,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asarina procumbens,twining snapdragon,Vine,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asarina scandens & ssp. & cvs.,creeping snapdragon,Vine,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asarum caudatum,wild ginger,"Ground Cover, Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Asarum hartwegii (SHADE),marbled wild ginger,"Ground Cover, Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asarum lemmonii (shade),Lemmon's wild ginger,"Ground Cover, Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asarum splendens cvs,Chinese wild ginger,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asclepias curassavica,scarlet milkweed,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30
Asclepias incarnata,swamp milkweed,Perennial,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asclepias ssp. & cvs. (CA native species),milk/silk weed,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Asclepias subulata,desert milkweed,"Perennial, California Native",Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Asclepias tuberosa,orange milkweed,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Asparagus aethiopicus & ssp. & cvs. (Asparagus densiflorus),asparagus fern,Perennial,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Asparagus macowanii,Ming Fern,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asparagus setaceus,Fern Asparagus,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asphodeline lutea,Jacob's rod/kings spear,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asphodeline taurica,asphodel,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Asphodelus aestivus,white asphodel,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aspidistra elatior (shade),cast iron plant,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Asplenium bulbiferum (shade in the low desert),mother fern,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Asplenium nidus (N. australasicum) (shade),bird's nest fern,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Asplenium scolopendrium (Phyllitis scolopendrium),Hart's  tongue fern,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Astelia banksii (SHADE),shore astelia,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Astelia chathamica,silver spear,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Astelia nervosa (SHADE),mountain astellia,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Astelia nivicola (SHADE),astelia,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Astelia x 'Silver Shadow' (SHADE),silver shadow astelia,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
"Aster & spp., hybrids & cvs.",aster,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aster ‘Purple Dome’,New England aster,,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Astilbe chinensis,Chinese astilbe,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Astilbe hybrids,false spirea,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Astragalus miguelensis,San Miguel Island Milkvetch,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A
Astrantia carniolica,dwarf red masterwort,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Astrantia major,greater masterwort,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Athyrium filix-femina (SHADE),lady fern,"Perennial, California Native",Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Athyrium nipponicum & ssp. & cvs. (SHADE),painted fern,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Atriplex (CA native species) & ssp. & cvs.,saltbush,"Ground Cover, Shrub, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Atriplex semibaccata,Australian saltbush,"Ground Cover, Shrub",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10
Aubrieta deltoidea,rock cress,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aubrieta x cultorum,rock cress,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Aucuba japonica (SHADE),Japanese aucuba,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Aurinia saxatilis,hardy alyssum/basket of gold,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Austrocylindropuntia subulata,Crested Eye's Needle,,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A
Azadirachta indica,neem,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Azaleadendron 'Hardjizer's Beauty',Hardijizer's beauty,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Azara dentata,orono,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Azara integrifolia,azara,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Azara microphylla,box leaf azara,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A
Azara serrata 'Andean Gold',Andean gold saw tooth azara,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Azorina vidalii,Azores bellflower,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Babiana spp. and hybrids,baboon flower,Bulb,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Baccharis 'Centennial',Centennial baccharis,"Shrub, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
