symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
ADAE,,Adonis aestivalis L.,summer pheasant's eye,Ranunculaceae,False,OR
ADAE,ADAEC,Adonis aestivalis L. var. citrina Hoffm.,,Ranunculaceae,True,OR
ADAL,,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,Pteridaceae,False,OR
ADAL,ADPEA2,Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor,,Pteridaceae,True,OR
ADAL,ADPEC,Adiantum pedatum L. ssp. calderi Cody,,Pteridaceae,True,OR
ADAL,ADPES,Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger,,Pteridaceae,True,OR
ADAL,ADPEA,Adiantum pedatum L. var. aleuticum Rupr.,,Pteridaceae,True,OR
ADAL,ADPES2,Adiantum pedatum L. var. subpumilum W.H. Wagner,,Pteridaceae,True,OR
ADBI,,Adenocaulon bicolor Hook.,American trailplant,Asteraceae,False,OR
ADENO,,Adenocaulon Hook.,trailplant,Asteraceae,False,OR
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,False,OR
ADJO,,Adiantum jordanii C.H. Mull.,California maidenhair,Pteridaceae,False,OR
ADONI,,Adonis L.,pheasant's eye,Ranunculaceae,False,OR
AECA,,Aesculus californica (Spach) Nutt.,California buckeye,Hippocastanaceae,False,OR
AECY,,Aegilops cylindrica Host,jointed goatgrass,Poaceae,False,OR
AECY,AECYR,Aegilops cylindrica Host var. rubiginosa Popova,,Poaceae,True,OR
AECY,AETA3,Aegilops tauschii auct. non Coss.,,Poaceae,True,OR
AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,,Poaceae,True,OR
AECY,TRCY3,"Triticum cylindricum (Host) Ces., Pass. & Gibelli",,Poaceae,True,OR
AEGIL,,Aegilops L.,goatgrass,Poaceae,False,OR
AEGOP,,Aegopodium L.,goutweed,Apiaceae,False,OR
AEHI,,Aesculus hippocastanum L.,horse chestnut,Hippocastanaceae,False,OR
AENE2,,Aegilops neglecta Req. ex Bertol.,three-awned goatgrass,Poaceae,False,OR
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,False,OR
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,True,OR
