symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
COBE2,,Commelina benghalensis L.,jio,Commelinaceae,False,CA
COBI,,Coreopsis bigelovii (A. Gray) H.M. Hall,Bigelow's tickseed,Asteraceae,False,CA
COBI,LEBI4,Leptosyne bigelovii (A. Gray) A. Gray,,Asteraceae,True,CA
COBI,PUBI,Pugiopappus bigelovii A. Gray,,Asteraceae,True,CA
COBI2,,Cosmos bipinnatus Cav.,garden cosmos,Asteraceae,False,CA
COBO,,Conyza bonariensis (L.) Cronquist,asthmaweed,Asteraceae,False,CA
COBO,ERBO4,Erigeron bonariensis L.,,Asteraceae,True,CA
COBO,ERCR11,Erigeron crispus Pourr.,,Asteraceae,True,CA
COBO,ERLI2,Erigeron linifolius Willd.,,Asteraceae,True,CA
COBO,LEBO3,Leptilon bonariense (L.) Small,,Asteraceae,True,CA
COBO,LELI3,Leptilon linifolium (Willd.) Small,,Asteraceae,True,CA
COCA15,,Corydalis caseana A. Gray,Sierra fumewort,Fumariaceae,False,CA
COCA18,,Colubrina californica I.M. Johnst.,Las Animas nakedwood,Rhamnaceae,False,CA
COCA18,COTEC2,Colubrina texensis (Torr. & A. Gray) A. Gray var. californica (I.M. Johnst.) L.D. Benson,,Rhamnaceae,True,CA
COCA3,,Collinsia callosa Parish,desertmountain blue eyed Mary,Scrophulariaceae,False,CA
COCA5,,Conyza canadensis (L.) Cronquist,Canadian horseweed,Asteraceae,False,CA
COCA7,,Cordylanthus capitatus Nutt. ex Benth.,Yakima bird's-beak,Scrophulariaceae,False,CA
COCA7,CONE5,Cordylanthus nevadensis Edwin,,Scrophulariaceae,True,CA
COCA8,,Coreopsis californica (Nutt.) H. Sharsm.,California tickseed,Asteraceae,False,CA
COCA9,,Coreopsis calliopsidea (DC.) A. Gray,leafstem tickseed,Asteraceae,False,CA
COCA9,AGCA10,Agarista calliopsidea DC.,,Asteraceae,True,CA
COCAC3,,Conyza canadensis (L.) Cronquist var. canadensis,Canadian horseweed,Asteraceae,False,CA
COCAC3,ERCA20,Erigeron canadensis L.,,Asteraceae,True,CA
COCAC3,LECA16,Leptilon canadense (L.) Britton,,Asteraceae,True,CA
COCAC4,,Coreopsis californica (Nutt.) H. Sharsm. var. californica,California tickseed,Asteraceae,False,CA
COCAC4,LECA17,Leptosyne californica Nutt.,,Asteraceae,True,CA
COCAC7,,Corydalis caseana A. Gray ssp. caseana,Sierra fumewort,Fumariaceae,False,CA
COCAC7,COBI8,Corydalis bidwelliae S. Watson,,Fumariaceae,True,CA
COCAG,,Conyza canadensis (L.) Cronquist var. glabrata (A. Gray) Cronquist,Canadian horseweed,Asteraceae,False,CA
COCAG,ERCAG,Erigeron canadensis L. var. glabratus A. Gray,,Asteraceae,True,CA
COCH,,Collinsia childii Parry ex A. Gray,Child's blue eyed Mary,Scrophulariaceae,False,CA
COCHL4,,Cochlearia L.,scurvygrass,Brassicaceae,False,CA
COCI4,,Corymbia citriodora (Hook.) K.D. Hill & L.A.S. Johnson,lemonscented gum,Myrtaceae,False,CA
COCI4,EUCI,Eucalyptus citriodora Hook.,,Myrtaceae,True,CA
COCO,,Collinsia concolor Greene,Chinese houses,Scrophulariaceae,False,CA
COCO2,,Collinsia corymbosa Herder,roundhead Chinese houses,Scrophulariaceae,False,CA
COCO28,,Commelina coelestis Willd.,commelina,Commelinaceae,False,CA
COCO6,,Corylus cornuta Marshall,beaked hazelnut,Betulaceae,False,CA
COCO7,,Cotula coronopifolia L.,common brassbuttons,Asteraceae,False,CA
COCOC,,Corylus cornuta Marshall var. californica (A. DC.) Sharp,California hazel,Betulaceae,False,CA
COCOC,COCA23,Corylus californica (A. DC.) Rose,,Betulaceae,True,CA
COCOC,COCOC9,Corylus cornuta Marshall ssp. californica (A. DC.) A.E. Murray,,Betulaceae,True,CA
COCOC,COCOG2,Corylus cornuta Marshall var. glandulosa B. Boivin,,Betulaceae,True,CA
CODI2,,Collomia diversifolia Greene,serpentine collomia,Polemoniaceae,False,CA
CODI3,,Comarostaphylis diversifolia (Parry) Greene,summer holly,Ericaceae,False,CA
CODI6,,Coronopus didymus (L.) Sm.,lesser swinecress,Brassicaceae,False,CA
CODI6,CADI21,Carara didyma (L.) Britton,,Brassicaceae,True,CA
CODI6,LEDI4,Lepidium didymum L.,,Brassicaceae,True,CA
CODID2,,Comarostaphylis diversifolia (Parry) Greene ssp. diversifolia,summer holly,Ericaceae,False,CA
CODID2,ARDI16,Arctostaphylos diversifolia (Parry) Parry ex A. Gray,,Ericaceae,True,CA
CODIP,,Comarostaphylis diversifolia (Parry) Greene ssp. planifolia (Jeps.) G. Wallace ex Thorne,summer holly,Ericaceae,False,CA
CODIP,CODIP2,Comarostaphylis diversifolia (Parry) Greene var. planifolia Jeps.,,Ericaceae,True,CA
CODO2,,Coreopsis douglasii (DC.) H.M. Hall,Douglas' tickseed,Asteraceae,False,CA
CODO2,COSTJ,Coreopsis stillmanii (A. Gray) S.F. Blake var. jonesii Sherff,,Asteraceae,True,CA
CODO2,LEDO5,Leptosyne douglasii DC.,,Asteraceae,True,CA
COEQ,,Convolvulus equitans Benth.,Texas bindweed,Convolvulaceae,False,CA
COEQ,COHE9,Convolvulus hermannioides A. Gray,,Convolvulaceae,True,CA
COEQ,COSI4,Convolvulus simulans L.M. Perry,,Convolvulaceae,True,CA
COER6,,Cordylanthus eremicus (Coville & Morton) Munz,desert bird's-beak,Scrophulariaceae,False,CA
COERE2,,Cordylanthus eremicus (Coville & Morton) Munz ssp. eremicus,desert bird's-beak,Scrophulariaceae,False,CA
COERE2,COBE,Cordylanthus bernardinus Munz,,Scrophulariaceae,True,CA
COERE2,CORAE,Cordylanthus ramosus Nutt. ex Benth. ssp. eremicus (Coville & Morton) Munz,,Scrophulariaceae,True,CA
