Latin binomial,Common Names,Rating,Alert,Impact Score,Invasiveness Score,Distribution Score,Documentation Score,CDFA Rating
Ranunculus repens,creeping buttercup,Limited,,C,C,B,3,
Raphanus sativus,wild radish,Limited,,C,C,B,3,
Rhamnus alaternus,Italian buckthorn,Watch,,,,,,
Rhaponticum repens,"Russian knapweed, hardheads, creeping knapweed, mountain bluet, Turkestan thistle",Moderate,,B,B,B,3,
Ricinus communis,castor bean,Limited,,C,B,B,3,
Robinia pseudoacacia,black locust,Limited,,C,B,B,2.5,
Romulea rosea var. australis,rosy sandcrocus,Watch,,,,,,
Rubus armeniacus,Himalayan blackberry,High,,A,A,A,3,
Rumex acetosella,sheep sorrel,Moderate,,B,B,A,2.5,
Rumex crispus,curly dock,Limited,,C,C,A,3.5,
Rytidosperma caespitosum,wallabygrass,Watch,,,,,,
Rytidosperma penicillatum,hairy wallaby grass; hairy oat grass,Limited,,C,C,B,1.5,
Saccharum ravennae,ravennagrass; hardy pampas grass; plume grass; canna di Ravenna,Moderate,Alert,B,A,C,2.5,
Salpichroa origanifolia,lily of the valley vine,Watch,,,,,,
Salsola paulsenii,barbwire Russian thistle,Limited,,C,C,C,3,
Salsola ryanii,Ryan's Russian thistle,Watch,,,,,,
Salsola soda,glasswort; oppositeleaf Russian thistle,Moderate,,B,B,B,3,
Salsola tragus,Russian thistle; common saltwort; prickly Russian thistle; Russian tumbleweed; tumbleweed; tumbling weed; windwitch; witchweed; prickly glasswort,Limited,,C,B,B,3,
Salvia aethiopis,Mediterranean sage; African sage,Limited,,C,B,B,2.5,
Salvinia molesta,giant Salvinia; karibaweed; water velvet; African pyle; aquarium watermoss; water fern; koi kandy,High,,A,A,C,3,
Saponaria officinalis,bouncing-bet; bouncing betty; soapwort; goodbye summer,Limited,,C,B,C,2.5,
Scabiosa atropurpurea,pincushion flower,Watch,,,,,,
Schinus molle,Peruvian peppertree; California peppertree,Limited,,C,B,B,3,
Schinus terebinthifolia,Brazilian pepper tree; Christmas-berry tree; Christmasberry; Florida holly,Moderate,Alert,B,B,C,3,
Schismus arabicus,Mediterranean grass; Arabian schismus,Limited,,B,C,A,2.5,
Schismus barbatus,common Mediterranean grass; Old han schismus,Limited,,B,C,A,2.5,
Scolymus hispanicus,goldenthistle,Watch,,,,,,
Senecio angulatus,"creeping groundsel, climbing groundsel, Cape ivy",Watch,,,,,,
Senecio elegans,"redpurple ragwort, purple ragwort, wild cineraria",Watch,,,,,,
Senecio glomeratus,"cutleaf burnweed, cutleaf fireweed, New Zealand fireweed, Australian burnweed, bushman's burnweed, cut-leaved coast fireweed, Australian fireweed, little fireweed, coastal burnweed, Australian burnweed, toothed coast fireweed",Moderate,,C,B,A,3.5,
Senecio jacobaea,tansy ragwort; stinking willie; stavewort; kettle-dock; felonweed; Fairies' horse; tansy butterweed; staggerwort,Limited,,C,B,B,3,
Senecio linearifolius,fireweed groundsel,Watch,,,,,,
Sesbania punicea,scarlet Wisteria; red Sesbania; rattlebox; Chinese Wisteria,High,,A,B,C,3,
Silybum marianum,milk thistle; variegated thistle; blessed milk thistle; Virgin Mary's thistle; Lady's milk; Holy thistle; spotted thistle; cabbage thistle; spotted thistle; St. Mary's thistle; white thistle,Limited,,C,C,A,3.5,
Sinapis arvensis,wild mustard; canola; charlock mustard; common mustard; crunch-weed; field kale; field mustard; kedlock; rapeseed,Limited,,C,C,C,3,
Sisymbrium irio,London rocket,Limited,,B,C,A,2,
Solanum aviculare,New Zealand nightshade,Watch,,,,,,
