scientific_name,common_name,deer_resistant
Narcissus jonquilla,Daffodil,True
Narcissus tazetta,Paper White Narcissus,True
Narcissus triandrus,Orchid Daffodil,True
Nassella tenuissima,Mexican Feather Grass,True
Nepeta,Catmint,True
Nepeta cataria,Catnip,True
Nepeta x faassenii 'Walker's Low',Walker's Low Catmint,True
Nephrolepis exaltata,Boston Fern,True
Nerine bowdenii,Guernsey Lily,True
Nerium oleander,Oleander,True
Nicotiana tabacum,Tobacco,True
Nyssa sylvatica,Black Tupelo,True
Oenothera berlandieri 'Siskiyou',Evening Primrose,True
Oenothera fruticosa,Southern Sundrops,True
Oenothera lindheimeri,Lindheimer's Gaura,True
Onoclea sensibilis,Sensitive Fern,True
Onoclea struthiopteris,Ostrich Fern,True
Ophiopogon japonicus,Mondo Grass,True
Ophiopogon planiscapus 'Nigrescens',Black Mondo Grass,True
Opuntia,Prickly Pear Cactus,True
Opuntia humifusa,Eastern Prickly Pear,True
Origanum,Oregano,True
Origanum majorana,Sweet Marjoram,True
Origanum vulgare subsp. hirtum,Greek Oregano,True
Osmanthus delavayi,Delavay Tea Olive,True
Osmanthus fragrans,Fragrant Tea Olive,True
Panicum virgatum,Switchgrass,True
Panicum virgatum 'Heavy Metal',Heavy Metal Switch Grass,True
Panicum virgatum 'Northwind',Northwind Switchgrass,True
Papaver orientale,Oriental Poppy,True
Parthenocissus quinquefolia,Virginia Creeper,True
Passiflora incarnata,Passionflower,True
Passiflora lutea,Yellow Passionflower,True
Penstemon canescens,Appalachian Beardtongue,True
Penstemon digitalis 'Huskers Red',Huskers Red Penstemon,True
Pentas lanceolata,Star Cluster,True
Petrosedum rupestre 'Angelina',Rocky Stonecrop,True
Petunia x hybrida,Garden Petunia,True
Phedimus kamtschaticus,Kamschatka Sedum,True
Phlomis fruticosa,Jerusalem Sage,True
Phlox glaberrima,Smooth Phlox,True
Phlox stolonifera,Creeping Phlox,True
Phlox subulata,Moss Phlox,True
Physostegia virginiana,Obedient Plant,True
Phytolacca americana,Pokeweed,True
Picea abies 'Nidiformis',Bird's Nest Spruce,True
Picea laxa,White Spruce,True
Pinus cembra,Swiss Stone Pine,True
Pinus densiflora,Japanese Red Pine,True
Pinus echinata,Shortleaf Pine,True
Pinus edulis,Pinyon Pine,True
Pinus elliottii,Slash Pine,True
Pinus flexilis,Limber Pine,True
Pinus glabra,Spruce Pine,True
Pinus heldreichii,Bosnian Pine,True
Pinus jeffreyi,Jeffrey's Pine,True
Pinus koraiensis,Korean Pine,True
Pinus monticola,Western White Pine,True
Pinus mugo,Mugo Pine,True
Pinus nigra,Austrian Pine,True
Pinus palustris,Longleaf Pine,True
Pinus parviflora,Japanese White Pine,True
Pinus peuce,Macedonian Pine,True
Pinus pinaster,Maritime Pine,True
Pinus ponderosa,Ponderosa Pine,True
Pinus rigida,Pitch Pine,True
Pinus serotina,Pond Pine,True
Pinus strobus,Eastern White Pine,True
Pinus sylvestris,Scots Pine,True
Pinus taeda,Loblolly Pine,True
Pinus thunbergii,Japanese Black Pine,True
Pinus virginiana,Virginia Pine,True
Pinus wallichiana,Himalayan Pine,True
Pinus yunnanensis,Yunnan Pine,True
Platanus occidentalis,American Sycamore,True
Platanus x acerifolia,London Planetree,True
Platycodon grandiflorus,Balloon Flower,True
Podophyllum pleianthum,Chinese Mayapple,True
Polemonium reptans,Jacob's Ladder,True
Polypodium appalachianum,Appalachian Polypody,True
Polypodium virginianum,American Wall Fern,True
Polypodium vulgare,Common Polypody,True
Polystichum acrostichoides,Christmas Fern,True
Polystichum braunii,Braun's Holly Fern,True
Polystichum polyblepharum,Japanese Tassel Fern,True
Polystichum setiferum,Soft Shield Fern,True
Pontederia cordata,Pickerelweed,True
Portulaca grandiflora,Moss Rose,True
Prunus caroliniana,Carolina Cherry Laurel,True
Prunus serotina,Black Cherry,True
Prunus serrulata,Japanese Cherry,True
Pteridium latiusculum,Bracken Fern,True
Pulmonaria longifolia,Bethlehem Sage,True
Pulmonaria 'Raspberry Splash',Raspberry Splash Lungwort,True
Pycnanthemum,Mountain Mint,True
Pycnanthemum flexuosum,Appalachian Mountain Mint,True
Pycnanthemum incanum,Hoary Mountain Mint,True
Pyracantha coccinea,Firethorn,True
Pyracantha koidzumii,Formosan Firethorn,True
Pyrus calleryana,Callery Pear,True
Quercus acutissima,Sawtooth Oak,True
Quercus alba,White Oak,True
Quercus nigra,Black Oak,True
Quercus oglethorpensis,Oglethorpe Oak,True
Quercus pagoda,Cherry Bark Oak,True
Quercus petraea,Cornish Oak,True
Quercus phellos,Willow Oak,True
Quercus robur,Common Oak,True
Quercus rubra,American Red Oak,True
Quercus stellata,Post Oak,True
Quercus texana,Nuttall Oak,True
Quercus variabilis,Chinese Cork Oak,True
Quercus virginiana,Live Oak,True
Rhododendron hybrids,Exbury Azaleas,True
Rhododendron impeditum,Dwarf Purple Rhododendron,True
Ribes alpinum,Alpine Currant,True
Ribes sanguineum,Blood Currant,True
Ricinus communis,Castor Bean,True
Rohdea japonica,Japanese Sacred Lily,True
Rosa banksiae 'Lutea',Yellow Banksia Rose,True
Rosa laevigata,Cherokee Rose,True
Rosa rugosa,Beach Rose,True
Rubus allegheniensis,Allegheny Blackberry,True
Rubus idaeus subsp. strigosus,American Raspberry,True
Rubus occidentalis,Blackcap,True
Rudbeckia fulgida,Black-eyed Susan,True
Rudbeckia laciniata,Cutleaf Coneflower,True
Rudbeckia maxima,Cabbage-leaf Coneflower,True
Salix udensis 'Sekka',Japanese Fantail Willow,True
Salvia azurea,Blue Sage,True
Salvia coccinea,Bloody Sage,True
Salvia elegans,Pineapple Sage,True
Salvia farinacea,Blue Sage,True
Salvia greggii,Autumn Sage,True
Salvia guaranitica,Anise Sage,True
Salvia leucantha,Mexican Bush Sage,True
Salvia lyrata,Lyreleaf Sage,True
Salvia microphylla,Baby Sage,True
Salvia nemorosa,Balkan Clary,True
Salvia officinalis,Common Sage,True
Salvia rosmarinus,Rosemary,True
Salvia sclarea,Clary Sage,True
Salvia splendens,Scarlet Sage,True
Salvia uliginosa,Blue Spike Sage,True
Salvia x sylvestris,Meadow Sage,True
Salvia yangii,Russian Sage,True
Sanguisorba canadensis,American Burnet,True
Santolina etrusca,Cotton Lavender,True
Santolina rosmarinifolia,Green Lavender Cotton,True
Sarcococca confusa,Fragrant Sarcococca,True
Sarcococca hookeriana,Himalayan Sarcococca,True
Sarcococca orientalis,Christmas Box,True
Sarcococca ruscifolia,Fragrant Sarcococca,True
Satureja hortensis,Summer Savory,True
Saururus cernuus,Lizard's Tail,True
Scabiosa atropurpurea,Pincushion Flower,True
Schizachyrium scoparium,Little Bluestem,True
Sinojackia rehderiana,Jacktree,True
Solidago,Goldenrod,True
Solidago altissima,Canada Goldenrod,True
